date,Ethereum,isPartial
2016-01-31,1,False
2016-02-07,2,False
2016-02-14,1,False
2016-02-21,2,False
2016-02-28,3,False
2016-03-06,3,False
2016-03-13,4,False
2016-03-20,3,False
2016-03-27,3,False
2016-04-03,2,False
2016-04-10,3,False
2016-04-17,2,False
2016-04-24,2,False
2016-05-01,2,False
2016-05-08,3,False
2016-05-15,4,False
2016-05-22,4,False
2016-05-29,3,False
2016-06-05,3,False
2016-06-12,6,False
2016-06-19,5,False
2016-06-26,4,False
2016-07-03,3,False
2016-07-10,2,False
2016-07-17,4,False
2016-07-24,5,False
2016-07-31,4,False
2016-08-07,2,False
2016-08-14,2,False
2016-08-21,2,False
2016-08-28,2,False
2016-09-04,2,False
2016-09-11,2,False
2016-09-18,3,False
2016-09-25,2,False
2016-10-02,2,False
2016-10-09,2,False
2016-10-16,2,False
2016-10-23,2,False
2016-10-30,2,False
2016-11-06,2,False
2016-11-13,2,False
2016-11-20,2,False
2016-11-27,2,False
2016-12-04,2,False
2016-12-11,2,False
2016-12-18,2,False
2016-12-25,2,False
2017-01-01,3,False
2017-01-08,2,False
2017-01-15,2,False
2017-01-22,2,False
2017-01-29,2,False
2017-02-05,2,False
2017-02-12,2,False
2017-02-19,3,False
2017-02-26,5,False
2017-03-05,4,False
2017-03-12,12,False
2017-03-19,9,False
2017-03-26,7,False
2017-04-02,6,False
2017-04-09,5,False
2017-04-16,5,False
2017-04-23,9,False
2017-04-30,14,False
2017-05-07,11,False
2017-05-14,13,False
2017-05-21,41,False
2017-05-28,32,False
2017-06-04,37,False
2017-06-11,58,False
2017-06-18,47,False
2017-06-25,43,False
2017-07-02,30,False
2017-07-09,33,False
2017-07-16,32,False
2017-07-23,22,False
2017-07-30,21,False
2017-08-06,26,False
2017-08-13,25,False
2017-08-20,23,False
2017-08-27,27,False
2017-09-03,25,False
2017-09-10,22,False
2017-09-17,19,False
2017-09-24,15,False
2017-10-01,15,False
2017-10-08,19,False
2017-10-15,23,False
2017-10-22,19,False
2017-10-29,22,False
2017-11-05,25,False
2017-11-12,24,False
2017-11-19,35,False
2017-11-26,56,False
2017-12-03,61,False
2017-12-10,81,False
2017-12-17,72,False
2017-12-24,46,False
2017-12-31,61,False
2018-01-07,80,False
2018-01-14,65,False
2018-01-21,39,False
2018-01-28,40,False
2018-02-04,37,False
2018-02-11,24,False
2018-02-18,22,False
2018-02-25,17,False
2018-03-04,18,False
2018-03-11,17,False
2018-03-18,16,False
2018-03-25,18,False
2018-04-01,14,False
2018-04-08,12,False
2018-04-15,12,False
2018-04-22,15,False
2018-04-29,15,False
2018-05-06,16,False
2018-05-13,12,False
2018-05-20,12,False
2018-05-27,11,False
2018-06-03,10,False
2018-06-10,12,False
2018-06-17,10,False
2018-06-24,9,False
2018-07-01,9,False
2018-07-08,9,False
2018-07-15,9,False
2018-07-22,9,False
2018-07-29,9,False
2018-08-05,11,False
2018-08-12,14,False
2018-08-19,9,False
2018-08-26,8,False
2018-09-02,11,False
2018-09-09,12,False
2018-09-16,10,False
2018-09-23,7,False
2018-09-30,7,False
2018-10-07,7,False
2018-10-14,7,False
2018-10-21,6,False
2018-10-28,6,False
2018-11-04,7,False
2018-11-11,7,False
2018-11-18,9,False
2018-11-25,8,False
2018-12-02,8,False
2018-12-09,7,False
2018-12-16,8,False
2018-12-23,8,False
2018-12-30,9,False
2019-01-06,9,False
2019-01-13,8,False
2019-01-20,5,False
2019-01-27,6,False
2019-02-03,5,False
2019-02-10,6,False
2019-02-17,7,False
2019-02-24,8,False
2019-03-03,5,False
2019-03-10,5,False
2019-03-17,5,False
2019-03-24,5,False
2019-03-31,7,False
2019-04-07,7,False
2019-04-14,5,False
2019-04-21,6,False
2019-04-28,6,False
2019-05-05,7,False
2019-05-12,12,False
2019-05-19,7,False
2019-05-26,9,False
2019-06-02,7,False
2019-06-09,6,False
2019-06-16,9,False
2019-06-23,13,False
2019-06-30,10,False
2019-07-07,18,False
2019-07-14,25,False
2019-07-21,6,False
2019-07-28,5,False
2019-08-04,6,False
2019-08-11,6,False
2019-08-18,6,False
2019-08-25,5,False
2019-09-01,5,False
2019-09-08,5,False
2019-09-15,7,False
2019-09-22,6,False
2019-09-29,5,False
2019-10-06,5,False
2019-10-13,5,False
2019-10-20,5,False
2019-10-27,5,False
2019-11-03,5,False
2019-11-10,5,False
2019-11-17,5,False
2019-11-24,5,False
2019-12-01,4,False
2019-12-08,5,False
2019-12-15,5,False
2019-12-22,5,False
2019-12-29,6,False
2020-01-05,6,False
2020-01-12,7,False
2020-01-19,6,False
2020-01-26,6,False
2020-02-02,9,False
2020-02-09,12,False
2020-02-16,11,False
2020-02-23,9,False
2020-03-01,7,False
2020-03-08,10,False
2020-03-15,10,False
2020-03-22,7,False
2020-03-29,6,False
2020-04-05,9,False
2020-04-12,8,False
2020-04-19,9,False
2020-04-26,11,False
2020-05-03,11,False
2020-05-10,11,False
2020-05-17,9,False
2020-05-24,9,False
2020-05-31,12,False
2020-06-07,10,False
2020-06-14,9,False
2020-06-21,10,False
2020-06-28,9,False
2020-07-05,10,False
2020-07-12,9,False
2020-07-19,14,False
2020-07-26,24,False
2020-08-02,25,False
2020-08-09,20,False
2020-08-16,18,False
2020-08-23,13,False
2020-08-30,19,False
2020-09-06,14,False
2020-09-13,12,False
2020-09-20,10,False
2020-09-27,9,False
2020-10-04,8,False
2020-10-11,9,False
2020-10-18,11,False
2020-10-25,11,False
2020-11-01,12,False
2020-11-08,14,False
2020-11-15,18,False
2020-11-22,30,False
2020-11-29,22,False
2020-12-06,16,False
2020-12-13,22,False
2020-12-20,23,False
2020-12-27,41,False
2021-01-03,100,False
2021-01-10,81,False
2021-01-17,69,False
2021-01-24,66,True
